zip,NCICCode,Year,County,allSum
90275,Rancho Palos Verdes,2016,Los Angeles County,1976
90277,Redondo Beach,2016,Los Angeles County,8643
90278,Redondo Beach,2016,Los Angeles County,8643
90280,South Gate,2016,Los Angeles County,16315
90301,Inglewood,2016,Los Angeles County,13030
90302,Inglewood,2016,Los Angeles County,13030
90303,Inglewood,2016,Los Angeles County,13030
90304,Inglewood,2016,Los Angeles County,13030
90305,Inglewood,2016,Los Angeles County,13030
90306,Inglewood,2016,Los Angeles County,13030
90307,Inglewood,2016,Los Angeles County,13030
90308,Inglewood,2016,Los Angeles County,13030
90309,Inglewood,2016,Los Angeles County,13030
90310,Inglewood,2016,Los Angeles County,13030
90311,Inglewood,2016,Los Angeles County,13030
90312,Inglewood,2016,Los Angeles County,13030
90313,Inglewood,2016,Los Angeles County,13030
90397,Inglewood,2016,Los Angeles County,13030
90398,Inglewood,2016,Los Angeles County,13030
90401,Santa Monica,2016,Los Angeles County,19408
90402,Santa Monica,2016,Los Angeles County,19408
90403,Santa Monica,2016,Los Angeles County,19408
90404,Santa Monica,2016,Los Angeles County,19408
90405,Santa Monica,2016,Los Angeles County,19408
90406,Santa Monica,2016,Los Angeles County,19408
90407,Santa Monica,2016,Los Angeles County,19408
90408,Santa Monica,2016,Los Angeles County,19408
90409,Santa Monica,2016,Los Angeles County,19408
90410,Santa Monica,2016,Los Angeles County,19408
90411,Santa Monica,2016,Los Angeles County,19408
90501,Torrance,2016,Los Angeles County,15719
90502,Torrance,2016,Los Angeles County,15719
90503,Torrance,2016,Los Angeles County,15719
90504,Torrance,2016,Los Angeles County,15719
90505,Torrance,2016,Los Angeles County,15719
90506,Torrance,2016,Los Angeles County,15719
90507,Torrance,2016,Los Angeles County,15719
90508,Torrance,2016,Los Angeles County,15719
90509,Torrance,2016,Los Angeles County,15719
90510,Torrance,2016,Los Angeles County,15719
90601,Whittier,2016,Los Angeles County,13387
90602,Whittier,2016,Los Angeles County,13387
90603,Whittier,2016,Los Angeles County,13387
90604,Whittier,2016,Los Angeles County,13387
90605,Whittier,2016,Los Angeles County,13387
90606,Whittier,2016,Los Angeles County,13387
90607,Whittier,2016,Los Angeles County,13387
90608,Whittier,2016,Los Angeles County,13387
90609,Whittier,2016,Los Angeles County,13387
90610,Whittier,2016,Los Angeles County,13387
90612,Whittier,2016,Los Angeles County,13387
90620,Buena Park,2016,Orange County,12115
90621,Buena Park,2016,Orange County,12115
90622,Buena Park,2016,Orange County,12115
90624,Buena Park,2016,Orange County,12115
90623,La Palma,2016,Orange County,1780
90630,Cypress,2016,Orange County,3698
90631,La Habra,2016,Orange County,6413
90632,La Habra,2016,Orange County,6413
90633,La Habra,2016,Orange County,6413
90637,La Mirada,2016,Los Angeles County,4222
90638,La Mirada,2016,Los Angeles County,4222
90639,La Mirada,2016,Los Angeles County,4222
90640,Montebello,2016,Los Angeles County,9411
90650,Norwalk,2016,Los Angeles County,10164
90651,Norwalk,2016,Los Angeles County,10164
90652,Norwalk,2016,Los Angeles County,10164
90659,Norwalk,2016,Los Angeles County,10164
90660,Pico Rivera,2016,Los Angeles County,7803
90661,Pico Rivera,2016,Los Angeles County,7803
90662,Pico Rivera,2016,Los Angeles County,7803
90680,Stanton,2016,Orange County,3767
90701,Artesia,2016,Los Angeles County,3037
90702,Artesia,2016,Los Angeles County,3037
90703,Cerritos,2016,Los Angeles County,10443
90704,Avalon,2016,Los Angeles County,199
90706,Bellflower,2016,Los Angeles County,10051
90707,Bellflower,2016,Los Angeles County,10051
90711,Lakewood,2016,Los Angeles County,12163
90712,Lakewood,2016,Los Angeles County,12163
90713,Lakewood,2016,Los Angeles County,12163
90714,Lakewood,2016,Los Angeles County,12163
90715,Lakewood,2016,Los Angeles County,12163
90716,Hawaiian Gardens,2016,Los Angeles County,1560
90717,Lomita,2016,Los Angeles County,1834
90720,Los Alamitos,2016,Orange County,1049
90721,Los Alamitos,2016,Orange County,1049
90723,Paramount,2016,Los Angeles County,8672
90740,Seal Beach,2016,Orange County,2595
90745,Carson,2016,Los Angeles County,12800
90746,Carson,2016,Los Angeles County,12800
90747,Carson,2016,Los Angeles County,12800
90749,Carson,2016,Los Angeles County,12800
90895,Carson,2016,Los Angeles County,12800
90755,Signal Hill,2016,Los Angeles County,4054
90801,Long Beach,2016,Los Angeles County,72034
90802,Long Beach,2016,Los Angeles County,72034
90803,Long Beach,2016,Los Angeles County,72034
90804,Long Beach,2016,Los Angeles County,72034
90805,Long Beach,2016,Los Angeles County,72034
90806,Long Beach,2016,Los Angeles County,72034
90807,Long Beach,2016,Los Angeles County,72034
90808,Long Beach,2016,Los Angeles County,72034
90809,Long Beach,2016,Los Angeles County,72034
90810,Long Beach,2016,Los Angeles County,72034
90813,Long Beach,2016,Los Angeles County,72034
90814,Long Beach,2016,Los Angeles County,72034
90815,Long Beach,2016,Los Angeles County,72034
90822,Long Beach,2016,Los Angeles County,72034
90831,Long Beach,2016,Los Angeles County,72034
90832,Long Beach,2016,Los Angeles County,72034
90833,Long Beach,2016,Los Angeles County,72034
90834,Long Beach,2016,Los Angeles County,72034
90835,Long Beach,2016,Los Angeles County,72034
90840,Long Beach,2016,Los Angeles County,72034
90842,Long Beach,2016,Los Angeles County,72034
90844,Long Beach,2016,Los Angeles County,72034
90845,Long Beach,2016,Los Angeles County,72034
90846,Long Beach,2016,Los Angeles County,72034
90847,Long Beach,2016,Los Angeles County,72034
90848,Long Beach,2016,Los Angeles County,72034
90853,Long Beach,2016,Los Angeles County,72034
90888,Long Beach,2016,Los Angeles County,72034
90899,Long Beach,2016,Los Angeles County,72034
91006,Arcadia,2016,Los Angeles County,7917
91007,Arcadia,2016,Los Angeles County,7917
91066,Arcadia,2016,Los Angeles County,7917
91077,Arcadia,2016,Los Angeles County,7917
91008,Duarte,2016,Los Angeles County,1920
91009,Duarte,2016,Los Angeles County,1920
91010,Duarte,2016,Los Angeles County,1920
91016,Monrovia,2016,Los Angeles County,3976
91017,Monrovia,2016,Los Angeles County,3976
91024,Sierra Madre,2016,Los Angeles County,583
91025,Sierra Madre,2016,Los Angeles County,583
91030,South Pasadena,2016,Los Angeles County,3071
91031,South Pasadena,2016,Los Angeles County,3071
91101,Pasadena,2016,Los Angeles County,17812
91102,Pasadena,2016,Los Angeles County,17812
91103,Pasadena,2016,Los Angeles County,17812
91104,Pasadena,2016,Los Angeles County,17812
91105,Pasadena,2016,Los Angeles County,17812
91106,Pasadena,2016,Los Angeles County,17812
91107,Pasadena,2016,Los Angeles County,17812
91109,Pasadena,2016,Los Angeles County,17812
91110,Pasadena,2016,Los Angeles County,17812
91114,Pasadena,2016,Los Angeles County,17812
91115,Pasadena,2016,Los Angeles County,17812
91116,Pasadena,2016,Los Angeles County,17812
91117,Pasadena,2016,Los Angeles County,17812
91121,Pasadena,2016,Los Angeles County,17812
91123,Pasadena,2016,Los Angeles County,17812
91124,Pasadena,2016,Los Angeles County,17812
91125,Pasadena,2016,Los Angeles County,17812
91126,Pasadena,2016,Los Angeles County,17812
91129,Pasadena,2016,Los Angeles County,17812
91131,Pasadena,2016,Los Angeles County,17812
91182,Pasadena,2016,Los Angeles County,17812
91184,Pasadena,2016,Los Angeles County,17812
91185,Pasadena,2016,Los Angeles County,17812
91188,Pasadena,2016,Los Angeles County,17812
91189,Pasadena,2016,Los Angeles County,17812
91191,Pasadena,2016,Los Angeles County,17812
91199,Pasadena,2016,Los Angeles County,17812
91108,San Marino,2016,Los Angeles County,1257
91118,San Marino,2016,Los Angeles County,1257
91201,Glendale,2016,Los Angeles County,16719
91202,Glendale,2016,Los Angeles County,16719
91203,Glendale,2016,Los Angeles County,16719
91204,Glendale,2016,Los Angeles County,16719
91205,Glendale,2016,Los Angeles County,16719
91206,Glendale,2016,Los Angeles County,16719
91207,Glendale,2016,Los Angeles County,16719
91208,Glendale,2016,Los Angeles County,16719
91209,Glendale,2016,Los Angeles County,16719
91210,Glendale,2016,Los Angeles County,16719
91221,Glendale,2016,Los Angeles County,16719
91222,Glendale,2016,Los Angeles County,16719
91225,Glendale,2016,Los Angeles County,16719
91226,Glendale,2016,Los Angeles County,16719
91301,Agoura Hills,2016,Los Angeles County,1231
91376,Agoura Hills,2016,Los Angeles County,1231
91302,Calabasas,2016,Los Angeles County,1471
91372,Calabasas,2016,Los Angeles County,1471
91340,San Fernando,2016,Los Angeles County,2427
91341,San Fernando,2016,Los Angeles County,2427
91350,Santa Clarita,2016,Los Angeles County,14696
